Extractor,UserAgent,Permission,Original,ExtractedUrl
robots.txt,*,Disallow,Disallow: /a=230/,https://runescape.com/a=230/
robots.txt,*,Disallow,Disallow: /a=231/,https://runescape.com/a=231/
robots.txt,*,Disallow,Disallow: /a=232/,https://runescape.com/a=232/
robots.txt,*,Disallow,Disallow: /a=233/,https://runescape.com/a=233/
robots.txt,*,Disallow,Disallow: /a=234/,https://runescape.com/a=234/
robots.txt,*,Disallow,Disallow: /a=235/,https://runescape.com/a=235/
robots.txt,*,Disallow,Disallow: /a=236/,https://runescape.com/a=236/
robots.txt,*,Disallow,Disallow: /a=237/,https://runescape.com/a=237/
robots.txt,*,Disallow,Disallow: /a=238/,https://runescape.com/a=238/
robots.txt,*,Disallow,Disallow: /a=239/,https://runescape.com/a=239/
robots.txt,*,Disallow,Disallow: /a=240/,https://runescape.com/a=240/
robots.txt,*,Disallow,Disallow: /a=241/,https://runescape.com/a=241/
robots.txt,*,Disallow,Disallow: /a=242/,https://runescape.com/a=242/
robots.txt,*,Disallow,Disallow: /a=243/,https://runescape.com/a=243/
robots.txt,*,Disallow,Disallow: /a=244/,https://runescape.com/a=244/
robots.txt,*,Disallow,Disallow: /a=245/,https://runescape.com/a=245/
robots.txt,*,Disallow,Disallow: /a=246/,https://runescape.com/a=246/
robots.txt,*,Disallow,Disallow: /a=247/,https://runescape.com/a=247/
robots.txt,*,Disallow,Disallow: /a=248/,https://runescape.com/a=248/
robots.txt,*,Disallow,Disallow: /a=249/,https://runescape.com/a=249/
robots.txt,*,Disallow,Disallow: /a=250/,https://runescape.com/a=250/
robots.txt,*,Disallow,Disallow: /a=251/,https://runescape.com/a=251/
robots.txt,*,Disallow,Disallow: /a=252/,https://runescape.com/a=252/
robots.txt,*,Disallow,Disallow: /a=253/,https://runescape.com/a=253/
robots.txt,*,Disallow,Disallow: /a=254/,https://runescape.com/a=254/
robots.txt,*,Disallow,Disallow: /a=255/,https://runescape.com/a=255/
robots.txt,*,Disallow,Disallow: /a=256/,https://runescape.com/a=256/
robots.txt,*,Disallow,Disallow: /a=257/,https://runescape.com/a=257/
robots.txt,*,Disallow,Disallow: /a=258/,https://runescape.com/a=258/
robots.txt,*,Disallow,Disallow: /a=259/,https://runescape.com/a=259/
robots.txt,*,Disallow,Disallow: /a=260/,https://runescape.com/a=260/
robots.txt,*,Disallow,Disallow: /a=261/,https://runescape.com/a=261/
robots.txt,*,Disallow,Disallow: /a=262/,https://runescape.com/a=262/
robots.txt,*,Disallow,Disallow: /a=263/,https://runescape.com/a=263/
robots.txt,*,Disallow,Disallow: /a=264/,https://runescape.com/a=264/
robots.txt,*,Disallow,Disallow: /a=265/,https://runescape.com/a=265/
robots.txt,*,Disallow,Disallow: /a=266/,https://runescape.com/a=266/
robots.txt,*,Disallow,Disallow: /a=267/,https://runescape.com/a=267/
robots.txt,*,Disallow,Disallow: /a=268/,https://runescape.com/a=268/
robots.txt,*,Disallow,Disallow: /a=269/,https://runescape.com/a=269/
robots.txt,*,Disallow,Disallow: /a=270/,https://runescape.com/a=270/
robots.txt,*,Disallow,Disallow: /a=271/,https://runescape.com/a=271/
robots.txt,*,Disallow,Disallow: /a=272/,https://runescape.com/a=272/
robots.txt,*,Disallow,Disallow: /a=273/,https://runescape.com/a=273/
robots.txt,*,Disallow,Disallow: /a=274/,https://runescape.com/a=274/
robots.txt,*,Disallow,Disallow: /a=275/,https://runescape.com/a=275/
robots.txt,*,Disallow,Disallow: /a=276/,https://runescape.com/a=276/
robots.txt,*,Disallow,Disallow: /a=277/,https://runescape.com/a=277/
robots.txt,*,Disallow,Disallow: /a=278/,https://runescape.com/a=278/
robots.txt,*,Disallow,Disallow: /a=279/,https://runescape.com/a=279/
robots.txt,*,Disallow,Disallow: /a=280/,https://runescape.com/a=280/
robots.txt,*,Disallow,Disallow: /a=281/,https://runescape.com/a=281/
robots.txt,*,Disallow,Disallow: /a=282/,https://runescape.com/a=282/
robots.txt,*,Disallow,Disallow: /a=283/,https://runescape.com/a=283/
robots.txt,*,Disallow,Disallow: /a=284/,https://runescape.com/a=284/
robots.txt,*,Disallow,Disallow: /a=285/,https://runescape.com/a=285/
robots.txt,*,Disallow,Disallow: /a=286/,https://runescape.com/a=286/
robots.txt,*,Disallow,Disallow: /a=287/,https://runescape.com/a=287/
robots.txt,*,Disallow,Disallow: /a=288/,https://runescape.com/a=288/
robots.txt,*,Disallow,Disallow: /a=289/,https://runescape.com/a=289/
robots.txt,*,Disallow,Disallow: /a=290/,https://runescape.com/a=290/
robots.txt,*,Disallow,Disallow: /a=291/,https://runescape.com/a=291/
robots.txt,*,Disallow,Disallow: /a=292/,https://runescape.com/a=292/
robots.txt,*,Disallow,Disallow: /a=293/,https://runescape.com/a=293/
robots.txt,*,Disallow,Disallow: /a=294/,https://runescape.com/a=294/
robots.txt,*,Disallow,Disallow: /a=295/,https://runescape.com/a=295/
robots.txt,*,Disallow,Disallow: /a=296/,https://runescape.com/a=296/
robots.txt,*,Disallow,Disallow: /a=297/,https://runescape.com/a=297/
robots.txt,*,Disallow,Disallow: /a=298/,https://runescape.com/a=298/
robots.txt,*,Disallow,Disallow: /a=299/,https://runescape.com/a=299/
robots.txt,*,Disallow,Disallow: /a=300/,https://runescape.com/a=300/
robots.txt,*,Disallow,Disallow: /a=301/,https://runescape.com/a=301/
robots.txt,*,Disallow,Disallow: /a=302/,https://runescape.com/a=302/
robots.txt,*,Disallow,Disallow: /a=303/,https://runescape.com/a=303/
robots.txt,*,Disallow,Disallow: /a=304/,https://runescape.com/a=304/
robots.txt,*,Disallow,Disallow: /a=305/,https://runescape.com/a=305/
robots.txt,*,Disallow,Disallow: /a=306/,https://runescape.com/a=306/
robots.txt,*,Disallow,Disallow: /a=307/,https://runescape.com/a=307/
robots.txt,*,Disallow,Disallow: /a=308/,https://runescape.com/a=308/
robots.txt,*,Disallow,Disallow: /a=309/,https://runescape.com/a=309/
robots.txt,*,Disallow,Disallow: /a=310/,https://runescape.com/a=310/
robots.txt,*,Disallow,Disallow: /a=311/,https://runescape.com/a=311/
robots.txt,*,Disallow,Disallow: /a=312/,https://runescape.com/a=312/
robots.txt,*,Disallow,Disallow: /a=313/,https://runescape.com/a=313/
robots.txt,*,Disallow,Disallow: /a=314/,https://runescape.com/a=314/
robots.txt,*,Disallow,Disallow: /a=315/,https://runescape.com/a=315/
robots.txt,*,Disallow,Disallow: /a=316/,https://runescape.com/a=316/
robots.txt,*,Disallow,Disallow: /a=317/,https://runescape.com/a=317/
robots.txt,*,Disallow,Disallow: /a=318/,https://runescape.com/a=318/
robots.txt,*,Disallow,Disallow: /a=319/,https://runescape.com/a=319/
robots.txt,*,Disallow,Disallow: /a=320/,https://runescape.com/a=320/
robots.txt,*,Disallow,Disallow: /a=321/,https://runescape.com/a=321/
robots.txt,*,Disallow,Disallow: /a=322/,https://runescape.com/a=322/
robots.txt,*,Disallow,Disallow: /a=323/,https://runescape.com/a=323/
robots.txt,*,Disallow,Disallow: /a=324/,https://runescape.com/a=324/
robots.txt,*,Disallow,Disallow: /a=325/,https://runescape.com/a=325/
robots.txt,*,Disallow,Disallow: /a=326/,https://runescape.com/a=326/
robots.txt,*,Disallow,Disallow: /a=327/,https://runescape.com/a=327/
robots.txt,*,Disallow,Disallow: /a=328/,https://runescape.com/a=328/
robots.txt,*,Disallow,Disallow: /a=329/,https://runescape.com/a=329/
robots.txt,*,Disallow,Disallow: /a=330/,https://runescape.com/a=330/
robots.txt,*,Disallow,Disallow: /a=331/,https://runescape.com/a=331/
robots.txt,*,Disallow,Disallow: /a=332/,https://runescape.com/a=332/
robots.txt,*,Disallow,Disallow: /a=333/,https://runescape.com/a=333/
robots.txt,*,Disallow,Disallow: /a=334/,https://runescape.com/a=334/
robots.txt,*,Disallow,Disallow: /a=335/,https://runescape.com/a=335/
robots.txt,*,Disallow,Disallow: /a=336/,https://runescape.com/a=336/
robots.txt,*,Disallow,Disallow: /a=337/,https://runescape.com/a=337/
robots.txt,*,Disallow,Disallow: /a=338/,https://runescape.com/a=338/
robots.txt,*,Disallow,Disallow: /a=339/,https://runescape.com/a=339/
robots.txt,*,Disallow,Disallow: /a=340/,https://runescape.com/a=340/
robots.txt,*,Disallow,Disallow: /a=341/,https://runescape.com/a=341/
robots.txt,*,Disallow,Disallow: /a=342/,https://runescape.com/a=342/
robots.txt,*,Disallow,Disallow: /a=343/,https://runescape.com/a=343/
robots.txt,*,Disallow,Disallow: /a=344/,https://runescape.com/a=344/
robots.txt,*,Disallow,Disallow: /a=345/,https://runescape.com/a=345/
robots.txt,*,Disallow,Disallow: /a=346/,https://runescape.com/a=346/
robots.txt,*,Disallow,Disallow: /a=347/,https://runescape.com/a=347/
robots.txt,*,Disallow,Disallow: /a=348/,https://runescape.com/a=348/
robots.txt,*,Disallow,Disallow: /a=349/,https://runescape.com/a=349/
robots.txt,*,Disallow,Disallow: /a=350/,https://runescape.com/a=350/
robots.txt,*,Disallow,Disallow: /a=351/,https://runescape.com/a=351/
robots.txt,*,Disallow,Disallow: /a=352/,https://runescape.com/a=352/
